"gage_id"	"nws_id"	"agency"	"station_name"	"domain"	"nwm_v3_calibration"	"headwater_calibration"
"01662800"	"LRLV2"	"USGS"	"BATTLE RUN NEAR LAUREL MILLS, VA"	"CONUS"	"true"	"true"
"EVA"		"CADWR"	""	"CONUS"	"true"	"true"
"01669000"	"TPPV2"	"USGS"	"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA"	"CONUS"	"true"	"true"
"01669520"	"DGSV2"	"USGS"	"DRAGON SWAMP AT MASCOT, VA"	"CONUS"	"true"	"true"
"01673800"	"SPTV2"	"USGS"	"PO RIVER NEAR SPOTSYLVANIA, VA"	"CONUS"	"true"	"true"
"02011400"	"BCVV2"	"USGS"	"JACKSON RIVER NEAR BACOVA, VA"	"CONUS"	"true"	"true"
"02011460"	"BKSV2"	"USGS"	"BACK CREEK NEAR SUNRISE, VA"	"CONUS"	"true"	"true"
"01664000"	"RENV2"	"USGS"	"RAPPAHANNOCK RIVER AT REMINGTON, VA"	"CONUS"	"true"	"true"
"01665500"	"RUCV2"	"USGS"	"RAPIDAN RIVER NEAR RUCKERSVILLE, VA"	"CONUS"	"true"	"true"
"01666500"	"LOCV2"	"USGS"	"ROBINSON RIVER NEAR LOCUST DALE, VA"	"CONUS"	"true"	"true"
"02017500"	"JCRV2"	"USGS"	"JOHNS CREEK AT NEW CASTLE, VA"	"CONUS"	"true"	"true"
"02018500"	"CTWV2"	"USGS"	"CATAWBA CREEK NEAR CATAWBA, VA"	"CONUS"	"true"	"true"
"02027000"	"TYLV2"	"USGS"	"TYE RIVER NEAR LOVINGSTON, VA"	"CONUS"	"true"	"true"
"02027500"	"PIRV2"	"USGS"	"PINEY RIVER AT PINEY RIVER, VA"	"CONUS"	"true"	"true"
"02028500"	"RKRV2"	"USGS"	"ROCKFISH RIVER NEAR GREENFIELD, VA"	"CONUS"	"true"	"true"
"02030500"	"ARVV2"	"USGS"	"SLATE RIVER NEAR ARVONIA, VA"	"CONUS"	"true"	"true"
"02013000"	"DLPV2"	"USGS"	"DUNLAP CREEK NEAR COVINGTON, VA"	"CONUS"	"true"	"true"
"02014000"	"PTCV2"	"USGS"	"POTTS CREEK NEAR COVINGTON, VA"	"CONUS"	"true"	"true"
"02015700"	"BPRV2"	"USGS"	"BULLPASTURE RIVER AT WILLIAMSVILLE, VA"	"CONUS"	"true"	"true"
"02032640"	"NFRV2"	"USGS"	"N F RIVANNA RIVER NEAR EARLYSVILLE, VA"	"CONUS"	"true"	"true"
"02046000"	"SNKV2"	"USGS"	"STONY CREEK NEAR DINWIDDIE, VA"	"CONUS"	"true"	"true"
"02051000"	"LNBV2"	"USGS"	"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA"	"CONUS"	"true"	"true"
"02051500"	"LAWV2"	"USGS"	"MEHERRIN RIVER NEAR LAWRENCEVILLE, VA"	"CONUS"	"true"	"true"
"02053200"	"POTN7"	"USGS"	"POTECASI CREEK NEAR UNION, NC"	"CONUS"	"true"	"true"
"MFP"		"CADWR"	""	"CONUS"	"true"	"true"
"02055100"	"DAEV2"	"USGS"	"TINKER CREEK NEAR DALEVILLE, VA"	"CONUS"	"true"	"true"
"02056900"	"BLAV2"	"USGS"	"BLACKWATER RIVER NEAR ROCKY MOUNT, VA"	"CONUS"	"true"	"true"
"02059500"	"HDSV2"	"USGS"	"GOOSE CREEK NEAR HUDDLESTON, VA"	"CONUS"	"true"	"true"
"02065500"	"CUBV2"	"USGS"	"CUB CREEK AT PHENIX, VA"	"CONUS"	"true"	"true"
"02070000"	"NMRV2"	"USGS"	"NORTH MAYO RIVER NEAR SPENCER, VA"	"CONUS"	"true"	"true"
"02070500"	"PRIN7"	"USGS"	"MAYO RIVER NEAR PRICE, NC"	"CONUS"	"true"	"true"
"CDR"		"CADWR"	""	"CONUS"	"true"	"true"
"02079640"	"ALKV2"	"USGS"	"ALLEN CREEK NEAR BOYDTON, VA"	"CONUS"	"true"	"true"
"0208111310"	"WNDN7"	"USGS"	"CASHIE RIVER AT SR1257 NEAR WINDSOR, NC"	"CONUS"	"true"	"true"
"02081500"	"TRVN7"	"USGS"	"TAR RIVER NEAR TAR RIVER, NC"	"CONUS"	"true"	"true"
