ID,link_id,rfc,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp
01596500,14364088,MARFC,-79.0986022949219,39.5707397460938,1,0,regular,3
01478245,4651254,MARFC,-75.7706451416016,39.7467422485352,1,0,regular,3
01613900,5895822,MARFC,-78.2832107543945,39.218936920166,1,0,regular,3
01374781,6227370,NERFC,-73.5946197509766,41.3274040222168,1,0,regular,3
01485000,8401303,MARFC,-75.319465637207,38.3943977355957,0,0,regular,3
01665500,8468791,MARFC,-78.3317489624023,38.2713890075684,1,0,regular,3
02032640,8566583,MARFC,-78.4357528686523,38.1690483093262,1,0,regular,3
01403900,9513328,MARFC,-74.5169143676758,40.5782890319824,1,0,regular,3
01421900,2612822,MARFC,-74.9049835205078,42.2830963134766,1,0,regular,3
01547700,8139414,MARFC,-77.6056594848633,41.0596122741699,1,0,regular,3
01669000,8479268,MARFC,-76.8970718383789,37.8769721984863,0,0,regular,3
01334000,22289963,NERFC,-73.2712554931641,42.9221687316895,1,0,regular,3
01651000,22337977,MARFC,-76.960807800293,38.9510650634766,1,0,regular,3
02018500,8526515,MARFC,-80.0055541992188,37.4699554443359,1,0,regular,3
01653600,22338051,MARFC,-76.9558715820312,38.708122253418,1,0,regular,3
01390450,6245850,MARFC,-74.0962524414062,41.0580596923828,1,0,regular,3
01594526,11908364,MARFC,-76.7464904785156,38.8076629638672,1,0,regular,3
01549500,8144818,MARFC,-77.2267913818359,41.4740676879883,1,0,regular,3
01586610,11688538,MARFC,-76.9549789428711,39.4519233703613,1,0,regular,3
01615000,5895964,MARFC,-78.0778961181641,39.1745262145996,1,0,regular,3
01666500,8468559,MARFC,-78.0931015014648,38.3263854980469,1,0,regular,3
0137462010,6227150,NERFC,-73.68741,41.40192,0,0,regular,3
01374890,6227656,NERFC,-73.6082077026367,41.2600898742676,1,0,regular,3
01379000,6250860,MARFC,-74.5283966064453,40.6814804077148,1,0,regular,3
01527500,8118867,MARFC,-77.4262847900391,42.4050712585449,1,0,regular,3
01583500,11687656,MARFC,-76.6744079589844,39.5145149230957,1,0,flashy,2
01332500,22290185,NERFC,-73.1544418334961,42.7000999450684,1,0,regular,3
01464000,2590137,MARFC,-74.7521667480469,40.2205543518066,1,0,regular,3
