#
#
# US Geological Survey
# retrieved: 2024-08-07 14:14:59 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:14:59 EDT
#
# there are 180 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	50114000	RIO CERRILLOS BLW LAGO CERRILLOS NR PONCE, PR	ST	18.07086823	-66.58100880	S	NAD83	 360.9			21010004	17.8
USGS	50114390	RIO BUCANA AT HWY 14 BRIDGE NR PONCE, PR	ST	18.03940855	-66.58239480	S	NAD83	 131.2			21010004	24.9
USGS	50114900	RIO PORTUGUES NR TIBES, PR	ST	18.09789468	-66.64248707	S	NAD83	 820.00			21010004	7.27
USGS	50115000	RIO PORTUGUES NR PONCE, PR	ST	18.07718453	-66.63322869	S	NAD83	 470			21010004	8.82
USGS	50115230	RIO PORTUGUES BLW PORTUGUES DAMSITE, PR	ST	18.04996358	-66.62767310	S	NAD83	 246			21010004	11.24
USGS	50115240	RIO PORTUGUES AT PARQUE CEREMONIAL TIBES NR PONCE	ST	18.04158904	-66.62112579	5	NAD83	 183			21010004	11.7
USGS	50115900	RIO PORTUGUES AT HWY 14 AT PONCE, PR	ST	18.01718753	-66.60683938	S	NAD83	 49.2			21010004	18.6
USGS	50124200	RIO GUAYANILLA NEAR GUAYANILLA, PR	ST	18.04225808	-66.79778380	S	NAD83	 80			21010004	18.9
USGS	50126150	RIO YAUCO ABV DIVERSION MONSERRATE NR YAUCO, PR	ST	18.04721348	-66.84148440	S	NAD83	 115			21010004	32.1
USGS	50128905	CANAL DE RIEGO DE LAJAS BLW LAGO LOCO DAM YAUCO PR	ST-CA	18.04106353	-66.88818190	S	NAD83	 196.9			21010004	
